shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B00690041,50.677074,4.300537,20031
B00690041,50.677217,4.300535,20032
B00690041,50.677288,4.300535,20033
B00690041,50.677650,4.300522,20034
B00690041,50.678243,4.300501,20035
B00690041,50.678243,4.300501,30001
B00690041,50.678858,4.300479,30002
B00690041,50.679536,4.300424,30003
B00690041,50.679681,4.300408,30004
B00690041,50.680059,4.300406,30005
B00690041,50.680245,4.300399,30006
B00690041,50.680515,4.300387,30007
B00690041,50.681106,4.300333,30008
B00690041,50.681236,4.300287,30009
B00690041,50.681290,4.300241,30010
B00690041,50.681452,4.300123,30011
B00690041,50.681552,4.300035,30012
B00690041,50.681622,4.299973,30013
B00690041,50.681655,4.296244,40003
B00690041,50.681655,4.296359,40002
B00690041,50.681672,4.296155,40004
B00690041,50.681693,4.296056,40005
B00690041,50.681695,4.299837,30014
B00690041,50.681714,4.296001,40006
B00690041,50.681748,4.297612,30023
B00690041,50.681748,4.297612,40001
B00690041,50.681761,4.299671,30015
B00690041,50.681765,4.297847,30022
B00690041,50.681767,4.295890,40007
B00690041,50.681798,4.299520,30016
B00690041,50.681824,4.298477,30021
B00690041,50.681835,4.299271,30017
B00690041,50.681853,4.298771,30020
B00690041,50.681857,4.298884,30019
B00690041,50.681857,4.299027,30018
B00690041,50.681947,4.295548,40008
B00690041,50.682221,4.273094,70009
B00690041,50.682254,4.295016,40009
B00690041,50.682310,4.273071,70008
B00690041,50.682431,4.289832,50019
B00690041,50.682435,4.290325,50018
B00690041,50.682452,4.290471,50017
B00690041,50.682465,4.289165,50020
B00690041,50.682468,4.290767,50016
B00690041,50.682492,4.294592,40010
B00690041,50.682519,4.288711,50021
B00690041,50.682542,4.288552,50022
B00690041,50.682554,4.291353,50015
B00690041,50.682576,4.291545,50014
B00690041,50.682589,4.273000,70007
B00690041,50.682598,4.294399,40011
B00690041,50.682626,4.288053,50023
B00690041,50.682680,4.292005,50013
B00690041,50.682737,4.294134,40012
B00690041,50.682748,4.292307,50012
B00690041,50.682765,4.294121,40013
B00690041,50.682768,4.294116,40014
B00690041,50.682768,4.294116,50001
B00690041,50.682797,4.272946,70006
B00690041,50.682819,4.294045,50002
B00690041,50.682820,4.292586,50011
B00690041,50.682826,4.286726,50024
B00690041,50.682871,4.293984,50003
B00690041,50.682891,4.292862,50010
B00690041,50.682928,4.293927,50004
B00690041,50.683021,4.293841,50005
B00690041,50.683029,4.285446,50025
B00690041,50.683029,4.293408,50009
B00690041,50.683062,4.285246,50026
B00690041,50.683068,4.293555,50008
B00690041,50.683090,4.293640,50007
B00690041,50.683120,4.293747,50006
B00690041,50.683135,4.272840,70005
B00690041,50.683212,4.284312,50027
B00690041,50.683281,4.283877,50028
